项目名称,项目ID,项目地点
武夷山世界文化与自然遗产地保护展示项目-双世遗区域保护展示宣教基地（武夷山区域）,272723,市本级
祥和街道阳翟社区城中村现代化治理二房三里、圳岸里环境和道路整治工程（施工）,272722,厦门市
惠安县西苑南路（后厝路-下埔路）道路工程（招标公告）,272718,惠安县
龙虎山路提升改造工程（施工）,272710,厦门市
周宁县咸村镇岭尾一桥至樟源桥头道路工程,272709,周宁县
福鼎市太姥山二级渔港工程（监理）,272708,福鼎市
安溪县2025年村道安全生命防护工程（龙门镇）（招标公告）,272707,安溪县
华东球根研发及育种综合治理大马山溪项目,272699,延平区
新旧普贤路交叉口快捷化工程（施工）（招标公告）,272698,丰泽区
安溪县德苑完全中学（暂名）暨安溪金火完全中学二期--行政综合楼、艺术楼等主体及附属工程（招标公告）,272697,安溪县
福鼎市龙安及店下项目集中区综合提升改造项目综合污水排放管道工程（陆域段）及隧洞开挖剩余土石方处置一体化项目,272696,福鼎市
顺昌县集镇污水提升改造项目-金山污水处理厂提标改造工程,272695,顺昌县
新民街道柑岭村城中村现代化治理道路改造及环境整治工程（施工）,272693,厦门市
西湖片区初雨控制及水环境提升工程-排水管网新建、修复改造工程（第3标段）（施工）-招标公告,272690,鼓楼区
闽江上游尤溪流域防洪三期工程（大田段）闽江尤溪流域防洪三期大田段工程,272687,大田县
数字古田智慧城市能力提升项目（应急广播体系建设工程）二次招标,272685,古田县
建宁红一方面军领导机关旧址保护提升项目工程总承包,272684,建宁县
南平市建阳区回瑶污水处理厂扩容及提标改造工程-配套管网建设（一期）项目一体化泵站及相关设备采购,272683,建阳区
2025永安市县级干线公路养护工程包,272681,永安市
渐美九年制学校（监理“评定分离”）,272679,厦门市
祥平街道溪声社区城中村现代化治理下庄里、后溪里环境整治工程（施工）,272678,厦门市
永春县农产品集中加工区-农副产品标准化厂房（二期）供配电工程（招标公告）,272672,永春县
莆田市燃气管道等老化更新改造工程（一期）项目（监理）,272670,市本级
福鼎市点头镇马洋新村项目土石方工程,272668,福鼎市
永春县城区水系联排联调项目可研及实施方案勘察、设计（二次招标）（招标公告）,272665,永春县
东山苏峰山景区基础设施及配套项目——苏峰山道路及配套景观绿化提升工程招标公告,272664,东山县
富美龙山溪乡村振兴示范带（龙山镇智慧农业示范区建设项目农旅小镇）,272662,南靖县
列西街道恒大御龙天峰片区防洪排涝及城市海绵化提升工程,272657,三元区
武夷新区核心区管廊工程大红袍路段（设计施工采购一体化）,272655,市本级
莆田市秀屿区实验中学新校区建设项目（艺术馆、文体活动馆),272654,秀屿区
大同街道碧岳社区城中村现代化治理道路改造及环境整治工程（施工）,272653,厦门市
厦门翔安机场东航基地一期地服机务保障区项目桩基、基坑支护及土石方工程（施工）,272652,厦门市
2012JP03地块A5子地块主塔楼装修工程（施工“评定分离”）,272649,厦门市
后坑河道整治工程项目-招标公告,272646,福清市
后坑河道整治工程项目-招标公告,272645,福清市
东街村七壶茶厂厂房建设项目,272642,沙县
福安市铁湖智慧产业物流中心项目（施工）,272641,福安市
福安市铁湖智慧产业物流中心项目（监理）,272640,福安市
美国领事馆旧址展示利用工程项目（施工）,272637,厦门市
国家紧急医学救援（福建）基地项目全过程工程咨询-招标公告,272633,福州市
炉下之问斜溪生态环境提升工程,272632,延平区
泉惠石化工业区2×660MW超超临界热电联产工程带式输送机设备采购项目（招标公告）,272631,惠安县
宁德市新能源智造五里洋园区项目（一期）-基础配套设施建设项目、园区污水管道尾水工程（勘察设计）,272628,蕉城区
开元滨江阳光6#-1地块6号楼室内装修工程,272627,延平区
浦城县粮食产业园-一期标准厂房室内装饰、装修及附属工程施工监理,272626,浦城县
浦城县粮食产业园-一期标准厂房室内装饰、装修及附属工程,272625,浦城县
英林村旧村改造（一期）项目区间道路一（招标公告）,272624,晋江市
漳州台商投资区龙江片区排洪渠工程（龙屿港支河3）,272623,漳州台商投资区
厦门临空经济片区九溪路与航美大道互通工程（一期）（施工）,272622,厦门市
厦门临空经济片区九溪路与航美大道互通工程（一期）（监理）,272621,厦门市
尤溪县生活垃圾焚烧发电项目（EPC+O）（重新招标）,272618,尤溪县
园田塘村综合服务用房建设项目,272617,新罗区
南平市武夷新区赤岸污水处理厂扩容及配套设施更新改造工程—水解酸化池、生化池，二沉池、脱水车间及配套设施项目,272616,市本级
南平市闽北经济开发区城乡供水保障及附属工程（二期）工程总承包+运营,272615,市本级
三明市2025年度三元区莘口镇“润泽库区造福移民”建设项目（重新招标）,272612,三元区
京东方大道提升改造工程（施工）-招标公告,272610,福清市
连城县中心城区排水防涝能力提升工程一期-老莲塘路及大坪路排水管网改造工程,272609,连城县
延平区西芹溪西芹段三期中小河流治理工程,272605,延平区
翔安南部片区望嶝道（翔安东路-九溪路）一期工程（施工“评定分离”）,272604,厦门市
翔安南部片区望嶝道（翔安东路-九溪路）一期工程（监理）,272599,厦门市
延平区紫云片区老旧小区改造配套基础设施建设项目,272595,延平区
南安市韧性城市提升工程（管网部分）施工监理（招标公告）,272594,南安市
漳武线西环城互通出入口及连接线工程（连接线工程）招标公告,272593,市本级
漳州市长泰区城西体育公园工程（二期）,272590,长泰县
政和县城区燃气管网及设施设备改造提升工程（一期）,272589,政和县
大田县石华坑水库工程勘察设计,272587,大田县
2023XG04地块建筑夜景照明工程（施工）,272586,厦门市
南平市延平区文田垃圾填埋场封场工程一期工程（应急治理工程）,272585,延平区
环东海域新城东西溪入海段护岸完善工程（施工）,272582,厦门市
清流县氟新材料产业园金星片区污水处理厂及配套附属设施工程工程总承包（EPC+O）,272573,清流县
金沙园北区综合工业区B1厂房维修工程监理,272572,沙县
福安市2025老旧小区改造项目（一期）第1阶段工程监理,272570,福安市
喜力二期挡墙等配套工程（施工）,272568,厦门市
福州市晋安老城区地下管网改造提升工程（二期）（施工）-招标公告,272567,晋安区
金盛路下穿通道工程（勘察设计“评定分离”）,272566,厦门市
观音山变#1主变及构架等设备更换工程主变采购招标公告,272562,龙海市
政和县镇前镇特色蔬菜产业提升工程全过程工程咨询,272560,政和县
古田食用菌三链融合产业园基础设施建设（一期）项目（大吉路翠屏湖二桥至三叉路口段道路工程）--二标段,272559,古田县
福安市城区排水设施提升改造工程（一期）金湖路东片区雨污水管网改造项目（监理）,272558,福安市
南安市第三中学高中扩建项目（招标公告）,272557,南安市
古田食用菌三链融合产业园基础设施建设（一期）项目（大吉路翠屏湖二桥至三叉路口段道路工程）--二标段施工监理,272556,古田县
福州市第一总医院内科楼及急诊楼病房改造项目第2标段（内科楼装修工程）（施工）-招标公告,272555,福州市
福安市城区排水设施提升改造工程（一期）金湖路东片区雨污水管网改造项目工程（施工）,272554,福安市
罗源县老旧小区配套基础设施提升项目（华林御景小区）（施工）-招标公告,272553,罗源县
前村社市政道路工程（设计“评定分离”）,272552,厦门市
福清一中体育馆修缮工程（施工）-招标公告,272551,福清市
生物医药特种检测中心建设工程（施工）,272542,厦门市
祥平街道溪声社区城中村现代化治理赤土楼里、金岗山里、竹仔林里环境整治工程（施工）,272540,厦门市
城关街道口袋公园海绵提升项目,272537,三元区
福清市石竹山坝头至紫云宝塔环境整治工程（施工）-招标公告,272532,福清市
S201（联七线）路亭（霞浦界）至柘荣城（关段公路（路亭至鸳鸯头叉口段） （监理）,272531,柘荣县
福安市2025老旧小区改造项目（一期）第1阶段工程,272528,福安市
南靖县东部片区排水防涝能力提升工程（一期）招标公告,272525,南靖县
泉州白濑水利枢纽工程剑斗云溪、白濑寨坂安置区自来水工程（招标公告）,272520,安溪县
泉港石化工业园区洋屿、仙境片区公共应急池工程设计（招标公告）,272512,泉港区
华安九龙工业园龙华大道市政道路工程勘察设计招标公告,272510,华安县
浦城县新城片区排水防涝工程中的新城梦笔名郡片区排水及配套工程施工,272509,浦城县
金东公路污水主干管病害修复工程（招标公告）,272506,晋江市
福建省龙岩市上杭县东南片区全民健身中心项目,272502,上杭县
永春县排水管网空白区建设工程（招标公告）,272491,永春县
坦洋红色主题客栈二期二次装修工程,272490,福安市
泉州市区拥堵及隐患治理工程（招标公告）,272489,市本级
大田县城区排水防涝市政设施提升改造工程（二期）—后坂洋片区,272484,大田县
金砖数字工业智谷装修工程（施工“评定分离”）,272482,厦门市
长乐和平街特色历史文化街区保护提升项目（设计）（重新招标）-招标公告,272481,长乐市
国道G534线尤溪象山至坂面段公路工程,272480,尤溪县
莆田市公安局荔城分局办公场所过渡搬迁改造建设工程,272479,荔城区
2025年翔安区香山街道大宅社区（二期）高标准农田建设项目（施工）,272478,厦门市
大同街道古庄村城中村现代化治理道路改造及环境整治工程（施工）,272477,厦门市
南安市官桥智能化食品加工配送一体化项目防护绿地（南安市官桥智能化食品加工配送一体化项目南侧边坡水毁安全防护工程）（招标公告）,272476,南安市
霞浦县2025年度农村公路安全生命防护工程（重新招标）,272475,霞浦县
凤葱美路（现状村道口至深青路段）道路工程（施工）,272474,厦门市
霞浦县台湾精致农业生产示范基础设施建设项目（市政工程）一台湾风情一条街展销 区街面提升工程、崇儒台湾精致农业展销区人居环境整治（监理）,272472,霞浦县
福鼎市职业教育实践基地（赤溪校区）项目设计,272467,福鼎市
角嵩路道路交通改善工程（勘察设计“评定分离”）,272465,厦门市
2025年度多功能交通量监测站和重点巡查基础设施监控建设工程（招标公告）,272464,市本级
政和县城区排水通道及排水管网改造提升工程-飞凤山片区改造提升工程,272460,政和县
集美新城核心区西亭片区市政配套道路工程一期（施工）,272453,厦门市
湄洲湾港秀屿港区秀屿作业区2#、3#泊位工程（一期工程）施工监理-招标公告,272452,福建省
福建省将乐县第一中学高中学生宿舍楼项目,272450,将乐县
福清市龙江重点流域水环境综合治理项目勘察设计及专题报告-招标公告,272448,福清市
福州高新区地质灾害隐患点村镇办段治理工程（施工）-招标公告,272447,福州市高新技术开发区
邵武市经济开发区基础设施建设项目邵武经济开发区基础设施建设香林、龙川、紫金平台道路缘石改造工程,272446,邵武市
惠安县小岞镇前峰等5个村供水提升工程（招标公告）,272444,惠安县
辋川镇京山、试剑、坪埔等3个村供水管网延伸工程（招标公告）,272443,惠安县
南安市韧性城市提升工程（管网部分）工程总承包项目（招标公告）,272442,南安市
惠安县排水防涝综合提升工程（一期）—世纪大道周边污水管网改造工程（招标公告）,272441,惠安县
漳州市龙海区公益性公墓工程,272440,龙海市
建宁（闽赣）国际陆港智慧运营服务中心建设项目监理,272439,建宁县
2025年明溪县胡坊镇高标准农田建设项目（改造提升）,272438,明溪县
寿宁县红色下党沿线生态修复及生态产业价值提升项目——黄槐湖生态廊道配套设施及生态停车场工程,272436,寿宁县
2025年明溪县胡坊镇高标准农田建设项目,272435,明溪县
中央储备粮漳州直属库有限公司仓储项目（监理）招标公告,272434,龙海市
中央储备粮漳州直属库有限公司仓储项目（施工）招标公告,272433,龙海市
东大街西段-城市活动中心项目（施工）招标公告,272432,平潭综合实验区
曹溪月山村综合服务用房,272431,新罗区
亭江农村生活污水整治工程（二期）（第三标段）（施工）-招标公告,272430,马尾区
西柯街道西浦村城中村现代化治理道路改造及环境整治工程（施工）,272429,厦门市
平潭智能制造产业园区项目（一期）（施工）招标公告,272428,平潭综合实验区
金龙南路与灌新路交叉口及金龙南路提升改造道路工程（施工）,272426,厦门市
国道G235线尤溪西城至新阳（大田界）公路工程溪坂养护工区建设项目,272423,尤溪县
万达南片区周边道路建设工程（二期）,272421,城厢区
安溪县城区市政道路雨污分流改造项目（二环路段）（招标公告）,272420,安溪县
宁德市溪南半岛水产品集散中心项目勘察设计,272419,霞浦县
东厦镇农贸综合服务中心建设项目招标公告,272418,云霄县
台创园提升改造工程（金井码头附属园区仓库周边配套提升项目）--智慧园区管理平台招标公告,272413,平潭综合实验区
平潭智能制造产业园区项目（一期）（监理）招标公告,272410,平潭综合实验区
汀溪镇褒美村“芋见褒美”文旅产业配套项目（施工）,272403,厦门市
同翔高新城产业公共服务配套建设项目-翔安东路延伸段二期工程-科创大道（九坝溪路-新曦大道）道路工程（设计“评定分离”）,272402,厦门市
大田县域文江溪底泥详细调查与工程勘察及实施段污染底泥整治效果评估项目,272401,大田县
G228线K4464+050-K4465+206路面提升改造工程-招标公告,272400,罗源县
黛溪屏南县代溪镇长宦村至代溪村段、熙岭乡乾头村段防洪工程-熙岭乡段,272398,屏南县
火炬智能制造产业园五期项目主体工程（施工“评定分离”）,272397,厦门市
屏南县城乡供水一体化（二期）工程 -中心城区供水片区项目,272393,屏南县
莆田第九中学建设工程（一期）监理,272387,荔城区
漳浦县城乡供水一体化工程（二期）监理,272385,漳浦县
黛溪屏南县代溪镇长宦村至代溪村段、熙岭乡乾头村段防洪工程-代溪镇段,272379,屏南县
晋江市晋南片区老旧供水管网改造及智能监测提升工程三期（第二标段）（招标公告）,272378,晋江市
晋江市金井镇钞岱回族村综合服务中心及配套设施—1#综合服务中心（招标公告）,272377,晋江市
龙海区浮宫镇农贸市场提升改造工程新建供配电项目,272375,龙海市
漳平市富山社区周边自建房雨污分流改造工程,272374,漳平市
福州市仓山区建新片区城中村内涝整治工程项目（监理）-招标公告,272372,仓山区
南靖县船场镇单村供水工程施工招标公告,272368,南靖县
厦门大学国家大学科技园（德化园）片区道路二期场平工程（D-01地块）（招标公告）,272365,德化县
福安经济开发区绿色经济产业园配套基础设施项目-观里园区溪边路工程勘察设计,272363,福安市
福建省级机关医院医技楼加固改造及消防水池工程第二标段（施工）-招标公告,272362,福州市
厦门市轨道交通6号线集美至同安段工程（嘉庚体育馆站至同翔高新城站）机电安装及装修工程、轨道工程（监理“评定分离”）,272361,厦门市
漳州台商投资区中部片区老旧街区配套改造项目-旧城区背街小巷道路及附属配套改造工程,272357,漳州台商投资区
小蕉村文旅客栈提升改造项目,272355,三元区
云霄县河道生态保护修复项目、云霄县河道疏浚清淤工程初步设计和详勘招标公告,272353,云霄县
漳浦县城乡供水保障工程（朝阳水库至漳浦二水厂输水管道）一期监理招标公告,272352,漳浦县
德化紫洋陶瓷科技文化产业园项目--道路及边坡防护绿地工程（电缆管道预埋工程）（招标公告）,272349,德化县
2025JP02地块及配套工程（施工“评定分离”）,272346,厦门市
霞浦县城乡供水一体化工程（单村集中供水工程与分散式供水工程）工程总承包（EPC）监理,272341,霞浦县
闽台经贸可持续发展产业园区及配套基础设施项目第一标段-福州市火车南站东片区排水防涝能力提升工程（施工图设计、施工一体化）-招标公告,272339,福州市
龙岩市新罗区西陂街道老旧小区改造提升工程一期,272338,新罗区
霞浦县城区排水设施提升改造工程（一期）——A标段,272337,霞浦县
福建省洛阳江幸福河湖建设项目全过程工程咨询（招标公告）,272335,洛江区
2025年宁德公司长大桥梁结构监测及桥群轻量化监测系统建设工程项目-招标公告,272334,福建省
福清市土投土地开发有限公司通晟大楼（施工）-招标公告,272333,福清市
霞浦县台湾精致农业生产示范基础设施建设项目（市政工程）一台湾风情一条街展销区街面提升工程、崇儒台湾精致农业展销区人居环境整治,272332,霞浦县
建阳经济开发区徐市片区北岸宝兴垄临时排水工程,272331,建阳区
柘荣县凤岐古民居文旅基础设施提升项目勘察设计,272329,柘荣县
2025年福建宁德市海洋生态保护修复项目设计施工总承包（重新招标）,272328,霞浦县
湄洲湾港秀屿港区秀屿作业区 2#、3#泊位工程（一期工程）-招标公告,272327,福建省
2025年新罗区适中等4个镇高标准农田建设项目(新建及改造提升),272326,新罗区
2025年连城县北团等2个乡（镇）高标准农田建设项目（新建及改造提升）(北团镇孙台片)、2025年连城县北团等2个乡(镇)高标准农田建设项目（新建及改造提升）(北团镇柯坊片),272324,连城县
美林街道后田社区城中村现代化治理蔡林和后詹里环境整治工程（施工）,272320,厦门市
新建新步渠、新步排涝泵站及周边雨水收集系统等提升工程-新步渠及新步排涝泵站工程（招标公告）,272318,鲤城区
宁化县毓政路道路工程,272307,宁化县
漳州市公安局龙文分局执法办案管理中心项目招标公告,272306,市本级
2024P16地块建设项目全过程工程咨询,272305,市本级
洪塘片区地下排水管网改造工程（施工）,272303,厦门市
龙海市水系连通及农村水系综合整治工程（榜山至白水段）-增效项目施工招标公告,272297,龙海市
福厦高铁土地综合开发用地排洪渠工程-孙霞路、仁德路排洪渠（施工）,272296,厦门市
泉港第一中学新校区（高中部）项目（招标公告）,272290,泉港区
涵江区萩芦溪河道整治工程（庄边段）,272286,涵江区
峰市集镇市场功能恢复项目,272282,永定县
福州市浦西路道路工程（施工）-招标公告,272279,台江区
福安市城镇环境卫生垃圾处理工程（垃圾处理中心）（监理）,272275,福安市
福建武夷山武鑫工贸有限公司管理用房及附属设施修缮改造项目,272271,武夷山市
莆田市燃气管道等老化更新改造工程（一期）项目（设计、采购、施工、运营一体化）,272268,市本级
泉州至厦门至漳州城际铁路R1线（厦门段）土建工程监理1标,272267,厦门市
厦门ABB工业园区二期2.3MW分布式车棚光伏发电项目（施工）,272265,厦门市
漳州市公安局龙文分局执法办案管理中心项目施工监理招标公告,272264,市本级
福安市公安局赛岐派出所业务用房装饰工程,272263,福安市
数字古田智慧城市能力提升项目（应急广播体系建设工程）,272262,古田县
金沙园北区综合工业区B1厂房维修工程,272257,沙县
2025年福建宁德市海洋生态保护修复项目（监理）,272256,霞浦县
沙埔公共交通枢纽场站（施工）-招标公告,272255,福清市
连城县城镇污水处理设施更新改造项目-莲中路污水管网更新改造工程,272254,连城县
木兰溪流域（华亭镇段）水生态环境综合治理工程,272250,城厢区
三明生态新城如意湖湿地公园海绵化提升工程（二期）,272246,沙县
福长路周边环境综合整治工程（施工）-招标公告,272245,福清市
漳州市南靖县城区市政地下排水管线升级改造工程（怀远路片区排水管线升级改造工程）监理,272244,南靖县
航城智创中心（勘察设计“评定分离”）,272239,厦门市
永安市公安局公安业务技术用房和执法办案中心建设项目全过程工程咨询,272238,永安市
长乐G228线文岭阜山隧道病害维修工程-招标公告,272236,长乐市
永泰县上马路、后垅路污水改造工程（施工）-招标公告,272235,永泰县
航城智慧物流园（勘察设计“评定分离”）,272233,厦门市
G357线上杭县黄坊村至武平县十方高速出口路面改造工程、武平县G357、G358线沥青路面改造工程设计、大修、养护总承包,272231,武平县
龙门滩镇大溪湖坂格至暗畲屏公路工程(重新招标)（招标公告）,272230,德化县
政和县东平镇 Y302 线碗厂至柿田（K3+250-K5+681 段）公路改造工程,272227,政和县
将乐县粮食产后服务中心建设项目-万安基地,272226,将乐县
厦门海洋高新技术产业园区启动区一期项目-浯江道沿线配套设施项目（设计“评定分离”）,272223,厦门市
厦门海洋高新区启动区二期项目-欧厝东水系东侧市政道路工程（设计“评定分离”）,272222,厦门市
莲垵片区城中村改造配套基础设施一纬一路（招标公告）,272207,丰泽区
黄尾密鲴国家级水产种质资源保护与生态修复项目（田源乡田口村）,272205,清流县
霞美镇消防站（招标公告）,272203,南安市
福建晋江国际产业加速器项目（一期）施工监理（招标公告）,272202,晋江市
福建晋江国际产业加速器项目（一期）（招标公告）,272201,晋江市
小溪小区安置地项目电力工程（招标公告）,272200,德化县
漳州市南靖县城区市政地下排水管线升级改造工程（怀远路片区排水管线升级改造工程）,272199,南靖县
翔安南部欧厝-蔡厝沿岸海域生态修复项目-三期工程（施工“评定分离”）,272198,厦门市
翔安南部欧厝-蔡厝沿岸海域生态修复项目-三期工程（监理）,272197,厦门市
漳平市2024年高标准农田“五化”建设省级示范项目,272191,漳平市
福清市龙田镇上苍村2024年土地整治项目（施工）-招标公告,272189,福清市
福州长乐国际机场二期扩建工程机场工程航站区工程景观绿化工程（施工）-招标公告,272188,长乐市
英村保障性住房（一期）主体工程（施工“评定分离”）,272186,厦门市
2025年福建宁德市海洋生态保护修复项目设计施工总承包,272183,霞浦县
福州市仓山区建新片区城中村内涝整治工程项目（施工图设计、施工一体化）-招标公告,272182,仓山区
东山发展广场项目（一期工程）外线引入及低压出线工程招标公告,272179,东山县
漳浦县专门学校招标公告,272176,漳浦县
漳州普通国省道多功能交调站建设和升级项目,272175,市本级
桃源滞洪排涝工程（招标公告）,272169,市本级
长汀南大街历史文化街区保护提升项目（名城保护提升部分）监理,272164,长汀县
福建福海创石油化工有限公司芳烃装置优化节能改造项目三台绕管式换热器招标公告,272160,市本级
潭头福星渔港配套道路工程一航猴线琅岐大桥至潭头福星村段提升改造工程（马尾琅岐镇劳光村-长乐潭头镇潭头村路面改造工程（二期）（施工）-招标公告,272155,长乐市
